artist_name,music,main_genre,release date,explicit track
Nicki Minaj,The Night Is Still Young,pop,,
Doja Cat,So High,pop,,
Demi Lovato,Really Don't Care,pop,,
Chris Brown,New Flame,rb_soul,,
Pepe Aguilar,Prometiste (En Vivo),world,,
Avicii,The Days,pop,,
Natalie La Rose,Somebody,,,
Imagine Dragons,I Bet My Life,rock,,
ZHU,Faded,electronic,,
Kiesza,Hideaway,pop,,
Wiz Khalifa,We Dem Boyz,hip_hop,,
Sam Smith,Have Yourself A Merry Little Christmas,pop,,
Romeo Santos,Cancioncitas de Amor,world,,
Taylor Swift,Out Of The Woods,pop,,
Sam Smith,Make It To Me,pop,,
Hans Zimmer,Cornfield Chase,classical,,
Oliver Heldens,Gecko (Overdrive),electronic,,
TiÃ«sto,Red Lights,electronic,,
J. Cole,Apparently,hip_hop,,
Ariel Camacho y Los Plebes Del Rancho,Te Metiste,world,,
TK from Ling tosite sigure,unravel,rock,,
Nicky Jam,Travesuras,hip_hop,1/27/2014,0.0
BONES,HDMI,hip_hop,,
Mitski,Francis Forever,indie,,
Lana Del Rey,Ultraviolence,pop,,
Ha*Ash,Lo AprendÃ­ de Ti,pop,,
OneRepublic,Love Runs Out,pop,,
J. Cole,A Tale Of 2 Citiez,hip_hop,,
Pitbull,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],pop,,
Trey Songz,Na Na,pop,,
Olly Murs,Up,pop,,
Migos,Fight Night,hip_hop,,
Sam Smith,Lay Me Down,pop,,
Cartel De Santa,Si Te Vienen a Contar,hip_hop,,
One Direction,No Control,pop,,
Lana Del Rey,Pretty When You Cry,pop,,
Seinabo Sey,Younger,pop,,
KANA-BOON,ã·ã«ã¨ãã,rock,,
Banda MS de Sergio LizÃ¡rraga,A Lo Mejor,world,,
Lana Del Rey,Sad Girl,pop,,
Hozier,Jackie and Wilson,rock,,
ScHoolboy Q,Studio,hip_hop,,
Taylor Swift,New Romantics,pop,,
La Adictiva,"DespuÃ©s de Ti, Â¿QuiÃ©n?",world,,
Michael Jackson,Chicago,rb_soul,,
George Ezra,Blame It on Me,pop,,
PARTYNEXTDOOR,Recognize,rb_soul,,
La Arrolladora Banda El LimÃ³n De Rene Camacho,Ya Te PerdÃ­ La Fe,world,,
Rich Gang,Lifestyle,,,
The Living Tombstone,It's Been So Long,electronic,,
Cold War Kids,First,rock,,
KONGOS,Come with Me Now,rock,,
Diplo,Welcome to the Party,pop,,
Imagine Dragons,Iâm So Sorry,rock,,
El Chapo De Sinaloa,Le Hace Falta Un Beso,world,,
George Ezra,Barcelona,pop,,
Enrique Iglesias,Loco,pop,,
Indila,Tourner Dans Le Vide,pop,,
Dierks Bentley,Drunk On A Plane,world,,
T-Pain,Up Down (Do This All Day),pop,,
Wiz Khalifa,So High,hip_hop,,
Hozier,From Eden,rock,,
Slipknot,Custer,metal,,
Banda MS de Sergio LizÃ¡rraga,No Me Pidas PerdoÌn,world,,
Royal Blood,Figure It Out,indie,,
Plan B,Mi Vecinita,world,,
David Guetta,Shot Me Down,electronic,,
Enrique Iglesias,El Perdedor,pop,,
Imagine Dragons,Radioactive,rock,1/1/2012,0.0
Taylor Swift,Welcome To New York,pop,,
BTS,Boy In Luv,pop,,
The Chainsmokers,#SELFIE,pop,,
Lana Del Rey,The Other Woman,pop,,
YG,Who Do You Love?,pop,,
Little Big Town,Girl Crush,world,,
John Legend,All of Me,pop,1/1/2012,0.0
Lee Brice,I Don't Dance,world,,
ILOVEMAKONNEN,Tuesday,hip_hop,,
Brantley Gilbert,Bottoms Up,world,,
Ha*Ash,"PerdÃ³n, PerdÃ³n",pop,,
Nicki Minaj,Pills N Potions,pop,,
BeyoncÃ©,Flawless Remix,pop,,
Olly Murs,Wrapped Up,pop,,
Calle 13,Ojos Color Sol,world,,
Chayanne,Humanos a Marte,pop,,
Cody Johnson,Me and My Kind,world,,
Vance Joy,Fire and the Flood,pop,,
Justin Bieber,All That Matters,pop,,
SALES,Chinese New Year,,,
SoMo,Ride,,,
Banda Los Recoditos,Me Sobrabas TÃº,world,,
First Aid Kit,My Silver Lining,indie,,
Bush,Glycerine,pop,,
Ariana Grande,Best Mistake,pop,,
Caos,La Planta,electronic,,
Young the Giant,Mind Over Matter,electronic,,
Remmy Valenzuela,Mi Princesa,world,,
Rita Ora,I Will Never Let You Down,pop,,
One Direction,Stockholm Syndrome,pop,,
ODESZA,Sun Models,electronic,,
Taylor Swift,All You Had To Do Was Stay,pop,,
Indila,Love Story,pop,,
Austin Mahone,All I Ever Need,pop,,
Don Miguelo,Como Yo Le Doy,hip_hop,,
Melanie Martinez,Carousel,hip_hop,,
RÃ­o Roma,Mi Persona Favorita,pop,,
Rascal Flatts,I Like The Sound Of That,world,,
Luis Fonsi,Llegaste TÃº,pop,,
Jaymes Young,I'll Be Good,pop,,
BTS,Just One Day,pop,,
Kendrick Lamar,i,hip_hop,,
Cartel De Santa,Los Mensajes del Whatsapp,hip_hop,,
Night Lovell,Dark Light,hip_hop,,
Klingande,Jubel,electronic,,
J. Cole,Fire Squad,hip_hop,,
ODESZA,Say My Name,electronic,,
The Living Tombstone,Five Nights at Freddy's,electronic,,
Fifth Harmony,Sledgehammer,pop,,
Philip George,Wish You Were Mine,pop,,
Payung Teduh,Untuk Perempuan Yang Sedang Di Pelukan,world,,
Tom Rosenthal,Go Solo,pop,,
Kevin Gates,I Don't Get Tired (#IDGT),hip_hop,,
Fifth Harmony,BO$$,pop,,
Dillon Francis,Get Low,electronic,,
Three Days Grace,I Am Machine,metal,,
Ariel Camacho y Los Plebes Del Rancho,El Karma,world,,
PARTYNEXTDOOR,Belong to the City,rb_soul,,
Jessie Ware,Say You Love Me,pop,,
Taylor Swift,Clean,pop,,
Jawad Ahmad,Samjhawan,pop,,
Idina Menzel,Baby It's Cold Outside,pop,,
Pitbull,Fun,pop,,
Ha*Ash,Ex de Verdad,pop,,
James Newton Howard,The Hanging Tree,classical,,
PARTYNEXTDOOR,Her Way,rb_soul,,
Sigma,Nobody To Love,electronic,,
One Direction,Fool's Gold,pop,,
Ricky Martin,Adrenalina,pop,,
Eric Church,Talladega,world,,
Calvin Harris,Pray to God,pop,,
Paula Fernandes,Highway Don't Care,world,,
La Adictiva,DisfrutÃ© EngaÃ±arte,world,,
BTS,Danger,pop,,
Sam Smith,Leave Your Lover,pop,,
Sam Smith,Not In That Way,pop,,
One Direction,Where Do Broken Hearts Go,pop,,
Nick Mulvey,Fever To The Form,pop,,
K CAMP,Comfortable,hip_hop,,
Bebe Rexha,I'm Gonna Show You Crazy,pop,,
Charli xcx,Break the Rules,pop,,
BeyoncÃ©,Pretty Hurts,pop,,
Blake Shelton,Sangria,world,,
Karen Harding,Say Something,electronic,,
Florida Georgia Line,Anything Goes,world,,
Lana Del Rey,Shades Of Cool,pop,,
G-Eazy,Let's Get Lost,pop,,
Chase Atlantic,Meddle About,rb_soul,,
One Direction,Fireproof,pop,,
Catfish and the Bottlemen,Kathleen,rock,,
CRO,Traum,electronic,,
Sia,Big Girls Cry,pop,,
Xavier Wulf,Psycho Pass,hip_hop,,
Carlos Vives,Cuando Nos Volvamos a Encontrar,pop,,
Ariana Grande,Just A Little Bit Of Your Heart,pop,,
Sofia Karlberg,Crazy in Love,pop,,
Sabaton,To Hell and Back,metal,,
The Vamps,Can We Dance,pop,,
Fiersa Besari,Waktu Yang Salah,indie,,
Imagine Dragons,Shots,rock,,
Maroon 5,This Summer,pop,,
Magic System,Magic in the Air,pop,,
Bakermat,One Day (Vandaag),electronic,,
Bleachers,Rollercoaster,pop,,
Chayanne,Madre Tierra (Oye),pop,,
AFROJACK,Ten Feet Tall,electronic,,
Ariana Grande,My Everything,pop,,
O.T. Genasis,CoCo,hip_hop,,
Roo Panes,Tiger Striped Sky,pop,,
Pablo AlborÃ¡n,Pasos de cero,pop,,
Edwin Luna y La Trakalosa de Monterrey,Broche de Oro,world,,
TV Girl,The Blonde,indie,,
Taylor Swift,How You Get The Girl,pop,,
Theory of a Deadman,Angel,metal,,
Jungle,Busy Earnin',hip_hop,,
Austin Mahone,Mmm Yeah,pop,,
Marco Antonio SolÃ­s,Acepto Mi Derrota,world,,
Jason Aldean,Burnin' It Down,world,,
Kyla La Grange,Cut Your Teeth,pop,,
Nicki Minaj,Bed Of Lies,pop,,
Saint Motel,Cold Cold Man,indie,,
Lana Del Rey,Once Upon a Dream,pop,,
Vigiland,UFO,pop,,
August Alsina,No Love,pop,,
Maroon 5,It Was Always You,pop,,
Yura Yunita,Cinta Dan Rahasia,pop,,
Sleeping At Last,You Are Enough,rb_soul,,
Trey Songz,"Touchin, Lovin",pop,,
Bleachers,I Wanna Get Better,pop,,
Lana Del Rey,Old Money,pop,,
Hozier,Arsonist's Lullabye,rock,,
Melendi,La promesa,pop,,
Mac DeMarco,Salad Days,electronic,,
Marlon Roudette,When the Beat Drops Out,pop,,
Los Tigres Del Norte,QuÃ© Tal Si Eres Tu,world,,
MAGIC!,Rude (Acoustic),world,,
Nick Jonas,Chains,pop,,
Logic,Gang Related,hip_hop,,
Tom Rosenthal,It's Ok,pop,,
Maluma,Carnaval,pop,,
Flight Facilities,Crave You,electronic,,
Bryce Vine,Sour Patch Kids,pop,,
Wiz Khalifa,Ass Drop,hip_hop,,
Imagine Dragons,Dream,rock,,
Hillsong Worship,Broken Vessels (Amazing Grace),other,,
J. Cole,January 28th,hip_hop,,
Birdy,Tee Shirt,rock,,
Shy Glizzy,White Girl,hip_hop,,
Luis Fonsi,CorazÃ³n En La Maleta,pop,,
The Black Keys,Fever,rock,,
AURORA,Running with the Wolves,pop,,
Taylor Swift,I Wish You Would,pop,,
Florida Georgia Line,Dirt,world,,
Indila,Ainsi bas la vida,pop,,
Clean Bandit,Real Love,pop,,
TAEYANG,"EYES, NOSE, LIPS",pop,,
Goose house,åããªã,pop,,
Taylor Swift,Wonderland,pop,,
Azealia Banks,Luxury,hip_hop,,
Miranda Lambert,Somethin' Bad,world,,
Coldplay,Midnight,rock,,
I Prevail,Blank Space,metal,,
Catfish and the Bottlemen,Cocoon,rock,,
Bush,Machinehead,pop,,
T-Pain,Booty Wurk (One Cheek At a Time),pop,,
Logic,Alright,hip_hop,,
David Nail,Whatever She's Got,world,,
T.I.,No Mediocre,,,
Cartel De Santa,Suena Mamal***,hip_hop,,
SZA,Childs Play,pop,,
Chris Brown,Love More,rb_soul,,
alt-J,Every Other Freckle,rock,,
Jason Mraz,Love Someone,pop,,
Imagine Dragons,Gold,rock,,
Hans Zimmer,Day One (Interstellar Theme),classical,,
The Kooks,Bad Habit,indie,,
Taylor Swift,You Are In Love,pop,,
Plan B,Choca,world,,
CÃ©line Dion,Ashes,pop,,
Lee Brice,Drinking Class,world,,
La Adictiva,Hombre Libre,world,,
Lana Del Rey,Money Power Glory,pop,,
Jeet Gannguli,Khamoshiyan,world,,
One Direction,Ready to Run,pop,,
Steve Aoki,Delirious (Boneless),electronic,,
Colt Ford,Workin' on,world,,
Imagine Dragons,Friction,rock,,
Coldplay,Always in My Head,rock,,
Lil Wayne,Believe Me,hip_hop,,
Dan + Shay,Nothin' Like You,world,,
TJ Monterde,Dating Tayo,indie,,
Banda MS de Sergio LizÃ¡rraga,Por Este Amor,world,,
Kid Ink,Main Chick,pop,,
La Adictiva,En la Sierra y la Ciudad (La China),world,,
J. Cole,03â Adolescence,hip_hop,,
Calibre 50,Contigo,world,,
Lady A,Bartender,pop,,
Lorde,Yellow Flicker Beat,pop,,
Yo Yo Honey Singh,Desi Kalakaar,world,,
BANKS,Beggin For Thread,hip_hop,,
T.I.,About the Money,,,
Travis Scott,Mamacita,hip_hop,,
Jasmine Thompson,Rather Be,pop,,
Dustin Tebbutt,The Breach,indie,,
OMFG,Hello,electronic,,
Remmy Valenzuela,Se Va Muriendo Mi Alma,world,,
Night Lovell,Deira City Centre,hip_hop,,
Taylor Swift,I Know Places,pop,,
One Direction,Girl Almighty,pop,,
Sia,Fire Meet Gasoline,pop,,
Sylvan Esso,Coffee,pop,,
Florida Georgia Line,Sun Daze,world,,
Hillsong Worship,This I Believe (The Creed),other,,
Yovie & Nuno,Tanpa Cinta,pop,,
Eminem,Guts Over Fear,hip_hop,,
Shakira,La La La (Brasil 2014),pop,,
INXS,Beautiful Girl,rock,,
5 Seconds of Summer,Don't Stop,pop,,
Linkin Park,Final Masquerade,metal,,
Sigma,Changing,electronic,,
Gorgon City,Ready For Your Love,electronic,,
Eric Church,Like A Wrecking Ball,world,,
Ella Henderson,Yours,pop,,
Future Islands,Seasons (Waiting on You),electronic,,
Tyga,Hookah,hip_hop,,
Shaggy,I Need Your Love,pop,,
Nicky Jam,Voy a Beber,hip_hop,,
Trailerpark,Bleib in der Schule,,,
A2M,I Got Bitches,,,
Dimitri Vegas,Tremor,electronic,,
Tribo da Periferia,InsÃ´nia,hip_hop,,
Jessie J,Masterpiece,pop,,
INNA,Cola Song,pop,,
Juan Gabriel,Querida,world,,
Slipknot,Killpop,metal,,
Richard Marx,Now And Forever,pop,,
BeyoncÃ©,Haunted,pop,,
Yo Yo Honey Singh,Love Dose,world,,
Pitbull,Wild Wild Love,pop,,
Florida Georgia Line,Confession,world,,
Fergie,L.A.LOVE (la la),pop,,
BeyoncÃ©,Drunk in Love Remix,pop,,
Bahamas,All The Time,indie,,
Fiersa Besari,Celengan Rindu,indie,,
Cody Johnson,Dance Her Home,world,,
Jaymes Young,Habits of My Heart,pop,,
Jennifer Lopez,Booty,pop,,
Lana Del Rey,Florida Kilos,pop,,
Chris Brown,Fine China,rb_soul,,
Secondcity,I Wanna Feel,electronic,,
Royal Blood,Out of the Black,indie,,
Pablo AlborÃ¡n,RecuÃ©rdame,pop,,
Ha*Ash,SÃ© Que Te Vas,pop,,
Lana Del Rey,Black Beauty,pop,,
Chase Rice,Ready Set Roll,world,,
Wiz Khalifa,Promises,hip_hop,,
James Bay,If You Ever Want To Be In Love,rock,,
Ben Howard,I Forget Where We Were,pop,,
John Williams,Duel of the Fates,classical,,
Skrillex,Recess,electronic,,
Justin Bieber,Heartbreaker,pop,,
The Chainsmokers,Kanye,pop,,
TV Girl,Birds Dont Sing,indie,,
RÃFÃS DU SOL,Sundream,pop,,
Cartel De Santa,Es de Ley,hip_hop,,
BTS,War of Hormone,pop,,
Andy Mineo,You Can't Stop Me,hip_hop,,
AURORA,Half the World Away,pop,,
Fifth Harmony,I'm In Love With a Monster,pop,,
David Guetta,What I Did for Love,electronic,,
Logic,Nikki,hip_hop,,
Nicki Minaj,Grand Piano,pop,,
Maroon 5,Feelings,pop,,
Coldplay,O,rock,,
Jack Ã,Take Ã There,electronic,,
"Osmani Garcia ""La Voz""",El Taxi,electronic,,
Ariana Grande,Why Try,pop,,
5 Seconds of Summer,Good Girls,pop,,
The Civil Wars,Billie Jean,pop,,
Axel Thesleff,Bad Karma,hip_hop,,
Ariel Camacho y Los Plebes Del Rancho,El SeÃ±or de los Cielos,world,,
Fiersa Besari,April,indie,,
ZHU,Cocaine Model,electronic,,
BeyoncÃ©,***Flawless,pop,,
will.i.am,Itâs My Birthday,pop,,
Chase Rice,Ride,world,,
Fink,Looking Too Closely,,,
Coldplay,Ink,rock,,
Underworld,Born Slippy (Nuxx),electronic,,
Cristiano AraÃºjo,Caso Indefinido,world,,
Jerrod Niemann,Drink to That All Night,world,,
Nicky Jam,Si TÃº No EstÃ¡s,hip_hop,,
BTS,Jump,pop,,
Otilia,Bilionera,pop,,
La Arrolladora Banda El LimÃ³n De Rene Camacho,Cabecita Dura,world,,
Mark Forster,Au Revoir,pop,,
Banda MS de Sergio LizÃ¡rraga,Me Gusta Tu Vieja,world,,
Logic,Under Pressure,hip_hop,,
alt-J,Hunger of the Pine,rock,,
Becky G,Can't Stop Dancin',pop,,
Pharrell Williams,Come Get It Bae,pop,,
Shakey Graves,Dearly Departed,indie,,
Will Sparks,Ah Yeah So What,electronic,,
Cole Swindell,Ain't Worth the Whiskey,world,,
Taylor Swift,This Love,pop,,
Lana Del Rey,Fucked My Way Up To The Top,pop,,
CAZZETTE,Sleepless,electronic,,
Hippie Sabotage,Your Soul,electronic,,
Remmy Valenzuela,Nadie,world,,
Calvin Harris,Open Wide,pop,,
Migos,Handsome And Wealthy,hip_hop,,
Alkilados,Una Cita,pop,,
CRO,Bad Chick,electronic,,
Dustin Lynch,Where It's At,world,,
The Barr Brothers,Even the Darkness Has Arms,indie,,
Brantley Gilbert,One Hell Of An Amen,world,,
Cartel De Santa,Doctor Marihuana,hip_hop,,
Hozier,Sedated,rock,,
TiÃª,A noite,,,
Tink,Treat Me Like Somebody,,,
Glass Animals,Black Mambo,indie,,
Edwin Luna y La Trakalosa de Monterrey,Mi Padrino el Diablo,world,,
Red Hot Chili Peppers,Aeroplane,rock,,
Hozier,To Be Alone,rock,,
Louane,Avenir,pop,,
Al Green,Love and Happiness,rb_soul,,
Royal Blood,Little Monster,indie,,
BANKS,Waiting Game,hip_hop,,
La Arrolladora Banda El LimÃ³n De Rene Camacho,Llamada De Mi Ex,world,,
RuPaul,Sissy That Walk,electronic,,
ScHoolboy Q,Hell Of A Night,hip_hop,,
Cole Swindell,Let Me See Ya Girl,world,,
Andreas Bourani,Auf uns,pop,,
T-Pain,Can't Believe It,pop,,
Lana Del Rey,Cruel World,pop,,
Ed Sheeran,Shape of You,pop,1/6/2017,0.0
Imagine Dragons,Believer,rock,1/31/2017,0.0
Ed Sheeran,Perfect,pop,3/3/2017,0.0
The Chainsmokers,Something Just Like This,pop,2/22/2017,0.0
Imagine Dragons,Thunder,rock,4/27/2017,0.0
Kendrick Lamar,HUMBLE.,hip_hop,3/31/2017,1.0
XXXTENTACION,Jocelyn Flores,hip_hop,,
Shawn Mendes,Treat You Better,pop,6/3/2016,0.0
Lil Uzi Vert,XO Tour Llif3,hip_hop,3/24/2017,1.0
Lil Uzi Vert,XO Tour Llif3,hip_hop,8/25/2017,1.0
French Montana,Unforgettable,hip_hop,1/1/2017,1.0
Dua Lipa,New Rules,pop,7/20/2018,0.0
Dua Lipa,New Rules,pop,1/1/2015,0.0
Shawn Mendes,There's Nothing Holdin' Me Back,pop,9/23/2016,0.0
Sam Smith,Too Good At Goodbyes,pop,9/8/2017,0.0
Elton John,Cold Heart,pop,,
Luis Fonsi,Despacito,pop,1/13/2017,0.0
"Tyler, The Creator",See You Again,hip_hop,,
ZAYN,Dusk Till Dawn,pop,,
ZAYN,I Donât Wanna Live Forever (Fifty Shades Darker),pop,,
XXXTENTACION,Fuck Love,hip_hop,,
Drake,Passionfruit,hip_hop,3/18/2017,0.0
MÃ¥neskin,Beggin',rock,,
Future,Mask Off,hip_hop,1/1/2017,1.0
Marshmello,Silence,electronic,8/11/2017,0.0
Ruth B.,Dandelions,hip_hop,4/28/2017,0.0
XXXTENTACION,Everybody Dies In Their Nightmares,hip_hop,8/25/2017,1.0
Dua Lipa,IDGAF,pop,6/2/2017,1.0
White Noise Baby Sleep,Clean White Noise,other,,
Offset,Ric Flair Drip,hip_hop,,
Harry Styles,Sign of the Times,pop,4/7/2017,0.0
Khalid,Young Dumb & Broke,pop,1/1/2017,0.0
J Balvin,Mi Gente,world,6/30/2017,0.0
NF,Let You Down,pop,9/15/2017,0.0
Clean Bandit,Symphony,pop,,
Zara Larsson,Lush Life,pop,6/5/2015,0.0
XXXTENTACION,Look At Me!,hip_hop,2/20/2017,1.0
Kygo,It Ain't Me,electronic,,
XXXTENTACION,Revenge,hip_hop,5/18/2017,1.0
XXXTENTACION,Revenge,hip_hop,8/25/2017,1.0
Daniel Caesar,Best Part,rb_soul,,
Bebe Rexha,Meant to Be,pop,,
Kendrick Lamar,LOVE. FEAT. ZACARI.,hip_hop,4/14/2017,1.0
Khalid,Location,pop,5/24/2016,0.0
Steve Lacy,Dark Red,hip_hop,2/20/2017,0.0
Shawn Mendes,Mercy,pop,8/18/2016,0.0
Axwell /\ Ingrosso,More Than You Know,electronic,5/24/2017,0.0
Selena Gomez,Wolves,pop,10/25/2017,0.0
Ed Sheeran,Castle on the Hill,pop,1/6/2017,0.0
Logic,1-800-273-8255,hip_hop,4/28/2017,1.0
Portugal. The Man,Feel It Still,rock,3/2/2017,0.0
Portugal. The Man,Feel It Still,rock,6/15/2017,0.0
Ed Sheeran,Happier,pop,3/3/2017,0.0
Ed Sheeran,Galway Girl,pop,3/3/2017,0.0
Imagine Dragons,Whatever It Takes,rock,5/9/2017,0.0
Martin Garrix,Scared to Be Lonely,electronic,,
DJ Khaled,I'm the One,hip_hop,1/1/2017,1.0
Zedd,Stay,electronic,,
Julia Michaels,Issues,pop,1/13/2017,0.0
Maroon 5,What Lovers Do,pop,,
Loud Luxury,Body,electronic,10/27/2017,0.0
The Chainsmokers,Paris,pop,1/13/2017,0.0
DJ Khaled,Wild Thoughts,hip_hop,6/16/2017,1.0
Kendrick Lamar,DNA.,hip_hop,4/14/2017,1.0
Taylor Swift,Look What You Made Me Do,pop,8/24/2017,0.0
Taylor Swift,Donât Blame Me,pop,,
Demi Lovato,Sorry Not Sorry,pop,7/11/2017,1.0
21 Savage,Bank Account,hip_hop,7/6/2017,1.0
Lewis Capaldi,Bruises,pop,3/31/2017,0.0
Calvin Harris,Feels,pop,,
Jason Derulo,Swalla,pop,,
Billie Eilish,idontwannabeyouanymore,pop,7/21/2017,0.0
Hailee Steinfeld,Let Me Go,pop,,
Avicii,Without You,pop,,
Jaymes Young,Infinity,pop,6/23/2017,0.0
