user_id,item_id,score,rank,name,artist,year
2703,1065,0.3292205035686493,1,Track 1065,Unknown Artist,
2703,1042,0.3218458294868469,2,Track 1042,Unknown Artist,
2703,1283,0.3218216300010681,3,Track 1283,Unknown Artist,
2703,546,0.3213163018226623,4,Track 546,Unknown Artist,
2703,1007,0.3209063410758972,5,Track 1007,Unknown Artist,
2703,753,0.3202469050884247,6,Track 753,Unknown Artist,
2703,124,0.3201693892478943,7,Track 124,Unknown Artist,
2703,919,0.3197202980518341,8,Track 919,Unknown Artist,
2703,201,0.3187312185764313,9,Track 201,Unknown Artist,
2703,850,0.3176232874393463,10,Track 850,Unknown Artist,
